Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
nc,72107166,0,"Thursday, November 14, 2013 03:06:41 UTC",37.0178,-121.7457,1.2,11.50,11,"Northern California"
ak,10852828,2,"Thursday, November 14, 2013 03:02:05 UTC",52.1331,-168.4072,2.0,18.40, 8,"Fox Islands, Aleutian Islands, Alaska"
ci,11391450,4,"Thursday, November 14, 2013 02:55:12 UTC",33.7140,-116.8273,2.0,19.70,59,"Southern California"
nc,72107156,0,"Thursday, November 14, 2013 02:54:57 UTC",35.2463,-120.5108,1.7,6.00, 7,"Central California"
mb,29535,1,"Thursday, November 14, 2013 02:45:01 UTC",47.2790,-113.8445,1.1,22.50, 7,"western Montana"
ak,10852827,2,"Thursday, November 14, 2013 02:23:38 UTC",50.7305,-173.2717,2.3,28.40, 9,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72107141,1,"Thursday, November 14, 2013 02:16:01 UTC",37.7862,-121.9565,1.8,9.70,26,"San Francisco Bay area, California"
ci,11391434,3,"Thursday, November 14, 2013 01:53:32 UTC",34.1187,-117.4877,1.0,13.30,12,"Greater Los Angeles area, California"
ak,10852826,2,"Thursday, November 14, 2013 01:50:14 UTC",51.5447,-175.3257,1.6,25.40, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10845686,2,"Thursday, November 14, 2013 01:48:13 UTC",51.4021,-178.8981,2.7,9.90,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10852824,2,"Thursday, November 14, 2013 01:45:16 UTC",52.2705,-168.3048,2.0,0.10, 9,"Fox Islands, Aleutian Islands, Alaska"
ak,10852823,2,"Thursday, November 14, 2013 01:37:36 UTC",63.5751,-147.3780,1.2,17.10,12,"Central Alaska"
pr,13318000,0,"Thursday, November 14, 2013 01:37:16 UTC",17.9188,-66.6548,1.8,16.00, 4,"Puerto Rico region"
ak,10845680,2,"Thursday, November 14, 2013 01:36:56 UTC",63.4975,-147.7632,1.6,0.70,27,"Central Alaska"
ak,10845678,2,"Thursday, November 14, 2013 01:33:22 UTC",62.9477,-149.1951,1.1,77.00,20,"Central Alaska"
ak,10852820,2,"Thursday, November 14, 2013 01:18:42 UTC",63.6214,-149.2027,1.0,112.60,13,"Central Alaska"
ak,10845671,3,"Thursday, November 14, 2013 01:15:48 UTC",51.4342,-178.7811,3.7,3.60,18,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11391426,3,"Thursday, November 14, 2013 01:13:54 UTC",34.0245,-116.8493,1.2,22.30,31,"Southern California"
ak,10845664,2,"Thursday, November 14, 2013 01:10:11 UTC",60.4107,-138.6942,1.6,6.10,17,"Southern Yukon Territory, Canada"
ak,10845639,2,"Thursday, November 14, 2013 00:54:07 UTC",63.0313,-149.5773,2.0,81.80,42,"Central Alaska"
ak,10852816,2,"Thursday, November 14, 2013 00:48:35 UTC",53.4097,-167.2859,1.6,74.60, 8,"Fox Islands, Aleutian Islands, Alaska"
ak,10852815,2,"Thursday, November 14, 2013 00:44:48 UTC",51.6843,-175.4145,1.8,61.50,10,"Andreanof Islands, Aleutian Islands, Alaska"
uw,60629046,1,"Thursday, November 14, 2013 00:43:35 UTC",45.5450,-119.9412,2.0,0.00,26,"Oregon"
ak,10845634,2,"Thursday, November 14, 2013 00:39:53 UTC",59.9416,-148.9001,1.4,13.50,12,"Kenai Peninsula, Alaska"
ci,11391418,4,"Thursday, November 14, 2013 00:33:51 UTC",34.3317,-118.6397,1.7,10.10,20,"Greater Los Angeles area, California"
ak,10845629,2,"Thursday, November 14, 2013 00:30:37 UTC",63.0702,-151.5018,1.3,6.40,17,"Central Alaska"
ci,11391410,3,"Thursday, November 14, 2013 00:19:51 UTC",33.8757,-116.7897,1.0,16.50,31,"Southern California"
ci,11391402,3,"Thursday, November 14, 2013 00:07:46 UTC",36.1580,-118.0657,1.5,3.40,15,"Central California"
nn,00429109,1,"Thursday, November 14, 2013 00:06:16 UTC",39.7361,-119.5742,2.3,15.00,28,"Nevada"
uw,60629036,1,"Wednesday, November 13, 2013 23:48:37 UTC",45.6597,-122.3188,1.2,0.00,15,"Washington"
ci,11391394,2,"Wednesday, November 13, 2013 23:38:27 UTC",33.2343,-115.9655,1.3,3.90,24,"Southern California"
ci,11391386,3,"Wednesday, November 13, 2013 23:34:59 UTC",35.6695,-118.4623,1.4,10.10,13,"Central California"
nc,72107101,0,"Wednesday, November 13, 2013 23:21:52 UTC",36.5760,-121.0307,1.1,7.90, 9,"Central California"
nc,72107091,0,"Wednesday, November 13, 2013 23:06:18 UTC",36.0593,-120.6513,1.3,0.00, 8,"Central California"
ak,10849591,3,"Wednesday, November 13, 2013 22:58:12 UTC",63.3426,-142.8359,1.7,6.90,14,"Central Alaska"
nc,72107086,1,"Wednesday, November 13, 2013 22:57:58 UTC",37.3158,-121.6848,1.9,7.70,38,"Northern California"
ak,10845449,2,"Wednesday, November 13, 2013 22:52:11 UTC",61.8881,-151.0632,1.3,61.30,26,"Southern Alaska"
ci,11391378,4,"Wednesday, November 13, 2013 22:51:14 UTC",33.1055,-116.6133,1.0,11.50,26,"Southern California"
ak,10849589,2,"Wednesday, November 13, 2013 22:21:37 UTC",60.0175,-152.7676,1.7,112.80,18,"Southern Alaska"
ak,10845367,2,"Wednesday, November 13, 2013 22:08:43 UTC",62.0645,-145.1870,1.3,19.70,13,"Central Alaska"
ak,10849586,2,"Wednesday, November 13, 2013 21:44:00 UTC",53.2345,-167.0367,1.7,62.50,12,"Fox Islands, Aleutian Islands, Alaska"
ak,10845220,2,"Wednesday, November 13, 2013 21:40:11 UTC",61.1443,-147.0038,1.5,0.00, 9,"Southern Alaska"
ak,10845215,2,"Wednesday, November 13, 2013 21:32:55 UTC",62.0471,-149.8924,1.0,43.80,17,"Central Alaska"
ak,10849583,2,"Wednesday, November 13, 2013 21:11:19 UTC",63.1336,-150.4791,1.3,124.50,18,"Central Alaska"
ak,10849582,2,"Wednesday, November 13, 2013 21:10:16 UTC",51.4867,-178.6007,2.0,5.00, 9,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72107031,1,"Wednesday, November 13, 2013 21:08:43 UTC",37.3167,-121.6867,1.9,7.60,36,"Northern California"
pr,13317002,0,"Wednesday, November 13, 2013 21:06:53 UTC",19.0130,-65.1546,3.2,30.00, 7,"Puerto Rico region"
pr,13317001,0,"Wednesday, November 13, 2013 20:59:24 UTC",17.8743,-67.1846,2.4,5.00,11,"Puerto Rico region"
ci,11391354,7,"Wednesday, November 13, 2013 20:58:14 UTC",33.8632,-117.4957,1.5,0.00,24,"Greater Los Angeles area, California"
nc,72107001,1,"Wednesday, November 13, 2013 20:47:18 UTC",37.7870,-121.9625,2.4,10.50,50,"San Francisco Bay area, California"
ak,10849581,2,"Wednesday, November 13, 2013 20:47:15 UTC",51.4309,-178.6036,1.9,5.00,10,"Andreanof Islands, Aleutian Islands, Alaska"
nn,00429071,1,"Wednesday, November 13, 2013 20:33:47 UTC",39.3765,-119.9780,1.7,7.20,27,"Nevada"
nc,72106991,0,"Wednesday, November 13, 2013 20:28:28 UTC",37.7793,-121.9512,1.4,7.80,11,"San Francisco Bay area, California"
ak,10849580,2,"Wednesday, November 13, 2013 20:19:04 UTC",51.4880,-178.7086,2.1,1.10, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11391346,5,"Wednesday, November 13, 2013 20:14:21 UTC",34.0088,-117.1837,1.4,14.70,36,"Greater Los Angeles area, California"
ci,11391338,5,"Wednesday, November 13, 2013 20:14:03 UTC",34.0095,-117.1850,1.5,13.90,64,"Greater Los Angeles area, California"
ak,10849579,2,"Wednesday, November 13, 2013 20:12:01 UTC",62.4862,-151.6617,1.3,92.80,20,"Central Alaska"
nn,00429070,1,"Wednesday, November 13, 2013 20:06:07 UTC",37.8036,-116.2028,1.6,0.00,23,"Nevada"
ci,11391330,2,"Wednesday, November 13, 2013 19:46:53 UTC",36.1553,-118.0722,1.1,1.50,15,"Central California"
ak,10844968,3,"Wednesday, November 13, 2013 19:46:35 UTC",59.2789,-137.3741,2.0,9.70,20,"British Columbia, Canada"
nc,72106976,2,"Wednesday, November 13, 2013 19:44:16 UTC",37.9778,-119.1588,1.2,5.40, 8,"Central California"
ak,10844952,2,"Wednesday, November 13, 2013 19:30:11 UTC",60.2566,-151.6482,1.9,66.20,30,"Kenai Peninsula, Alaska"
ci,11391314,2,"Wednesday, November 13, 2013 19:08:07 UTC",33.0662,-114.9883,1.7,0.00, 7,"Southern California"
ci,11391306,4,"Wednesday, November 13, 2013 19:01:47 UTC",36.1527,-118.0710,1.0,2.70,14,"Central California"
ak,10844875,2,"Wednesday, November 13, 2013 18:52:42 UTC",61.2305,-150.4758,1.8,45.00,37,"Southern Alaska"
nc,72106936,0,"Wednesday, November 13, 2013 18:50:10 UTC",36.5832,-121.4223,1.7,0.80,12,"Central California"
nc,72106926,2,"Wednesday, November 13, 2013 18:22:49 UTC",38.0138,-119.0125,1.1,6.50,17,"Central California"
ci,11391282,2,"Wednesday, November 13, 2013 18:09:52 UTC",36.2347,-118.3253,1.2,5.60,11,"Central California"
ak,10849574,2,"Wednesday, November 13, 2013 17:41:00 UTC",62.5536,-151.1495,1.1,80.50,10,"Central Alaska"
ak,10849573,2,"Wednesday, November 13, 2013 17:39:11 UTC",51.4197,-178.7657,2.1,10.20, 8,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72106876,8,"Wednesday, November 13, 2013 17:30:30 UTC",37.7863,-121.9658,3.3,10.30,219,"San Francisco Bay area, California"
ak,10844836,2,"Wednesday, November 13, 2013 17:28:45 UTC",60.8857,-149.6820,1.4,33.80,22,"Kenai Peninsula, Alaska"
ci,11391266,5,"Wednesday, November 13, 2013 17:28:01 UTC",33.3132,-116.3890,1.2,8.80,37,"Southern California"
uu,60044557,2,"Wednesday, November 13, 2013 17:19:41 UTC",41.5998,-111.6797,1.1,10.30,18,"Utah"
mb,29534,1,"Wednesday, November 13, 2013 17:16:44 UTC",46.3895,-111.4160,2.0,0.10,13,"western Montana"
ak,10849571,2,"Wednesday, November 13, 2013 17:16:31 UTC",61.5348,-151.1408,1.1,72.40,17,"Southern Alaska"
ci,11391258,4,"Wednesday, November 13, 2013 17:11:24 UTC",32.9172,-116.2533,1.0,7.90,18,"Southern California"
ak,10844823,2,"Wednesday, November 13, 2013 17:10:39 UTC",60.4329,-147.7118,2.1,14.70,38,"Southern Alaska"
ak,10844821,2,"Wednesday, November 13, 2013 17:04:47 UTC",58.0268,-153.2578,2.4,43.40,45,"Kodiak Island region, Alaska"
ak,10849568,2,"Wednesday, November 13, 2013 16:36:20 UTC",63.1135,-150.9773,1.3,124.60,14,"Central Alaska"
nc,72106871,0,"Wednesday, November 13, 2013 16:33:19 UTC",38.7467,-122.7000,1.1,1.60,11,"Northern California"
ci,11391250,5,"Wednesday, November 13, 2013 16:29:45 UTC",34.0097,-117.1843,1.1,14.00,35,"Greater Los Angeles area, California"
ak,10849567,2,"Wednesday, November 13, 2013 16:26:19 UTC",51.3901,-178.8982,2.2,7.20, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849566,2,"Wednesday, November 13, 2013 16:05:59 UTC",51.4213,-178.7415,2.4,5.10,10,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11391242,6,"Wednesday, November 13, 2013 16:02:38 UTC",32.8795,-116.2430,1.2,4.80,31,"Southern California"
ak,10844752,2,"Wednesday, November 13, 2013 16:02:23 UTC",60.3128,-152.0432,1.6,79.50,32,"Southern Alaska"
uu,60044532,2,"Wednesday, November 13, 2013 16:01:47 UTC",38.9608,-111.3968,1.0,1.40, 7,"Utah"
ak,10849564,2,"Wednesday, November 13, 2013 15:46:10 UTC",59.5964,-153.5417,1.8,122.00,31,"Southern Alaska"
ak,10844740,2,"Wednesday, November 13, 2013 15:23:27 UTC",59.7910,-152.7537,2.6,89.40,93,"Southern Alaska"
ci,11391234,2,"Wednesday, November 13, 2013 15:13:35 UTC",35.8852,-118.3568,1.0,5.60,14,"Central California"
ak,10844689,2,"Wednesday, November 13, 2013 15:06:37 UTC",51.4358,-178.8397,4.0,4.80,18,"Andreanof Islands, Aleutian Islands, Alaska"
uu,60044517,2,"Wednesday, November 13, 2013 15:04:37 UTC",38.9572,-111.4033,1.3,2.60, 9,"Utah"
ak,10844687,3,"Wednesday, November 13, 2013 15:03:32 UTC",61.1408,-148.0413,1.0,0.00,10,"Southern Alaska"
ak,10844682,3,"Wednesday, November 13, 2013 14:54:02 UTC",63.3205,-144.9921,1.5,5.70,26,"Central Alaska"
ak,10844677,2,"Wednesday, November 13, 2013 14:44:13 UTC",63.0906,-151.5167,1.5,5.40,21,"Central Alaska"
ci,11391218,5,"Wednesday, November 13, 2013 14:32:26 UTC",34.1768,-117.3450,1.2,9.90,40,"Greater Los Angeles area, California"
ak,10844671,2,"Wednesday, November 13, 2013 14:16:21 UTC",60.5717,-151.9695,1.6,79.20,33,"Kenai Peninsula, Alaska"
nc,72106806,0,"Wednesday, November 13, 2013 14:11:11 UTC",38.8268,-122.7798,1.3,1.80,16,"Northern California"
ak,10844670,2,"Wednesday, November 13, 2013 14:08:55 UTC",51.4870,-176.2284,2.7,40.90,14,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844661,2,"Wednesday, November 13, 2013 14:04:06 UTC",63.0227,-150.9543,2.3,111.50,59,"Central Alaska"
ak,10844657,2,"Wednesday, November 13, 2013 13:54:40 UTC",62.2303,-145.7065,1.5,19.80,18,"Central Alaska"
uu,60044512,2,"Wednesday, November 13, 2013 13:38:40 UTC",41.5945,-111.6910,1.6,9.90,26,"Utah"
ak,10844652,2,"Wednesday, November 13, 2013 13:37:33 UTC",63.2752,-151.1813,1.1,9.90,20,"Central Alaska"
ak,10849552,2,"Wednesday, November 13, 2013 13:30:17 UTC",60.3935,-153.3503,1.8,150.20,22,"Southern Alaska"
ak,10844651,2,"Wednesday, November 13, 2013 13:25:03 UTC",51.4381,-178.8424,2.6,10.40,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849549,2,"Wednesday, November 13, 2013 13:06:51 UTC",51.3806,-178.7621,2.4,5.00, 9,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844596,2,"Wednesday, November 13, 2013 12:32:40 UTC",59.8045,-152.3057,1.7,87.20,33,"Southern Alaska"
ak,10844595,2,"Wednesday, November 13, 2013 12:17:57 UTC",51.4175,-178.7873,2.8,5.00,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849544,2,"Wednesday, November 13, 2013 12:16:59 UTC",51.4116,-178.6987,2.1,10.40,11,"Andreanof Islands, Aleutian Islands, Alaska"
pr,13317000,0,"Wednesday, November 13, 2013 12:09:38 UTC",19.0042,-64.9001,3.2,67.00,10,"Virgin Islands region"
nc,72106771,0,"Wednesday, November 13, 2013 11:58:58 UTC",38.8243,-122.8023,1.0,0.00,14,"Northern California"
ak,10849543,2,"Wednesday, November 13, 2013 11:57:29 UTC",61.9402,-151.4922,1.4,73.70,27,"Southern Alaska"
ak,10849542,2,"Wednesday, November 13, 2013 11:47:46 UTC",51.3464,-179.0542,2.3,17.80, 6,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844548,2,"Wednesday, November 13, 2013 11:37:41 UTC",63.2667,-151.2403,1.1,9.60,20,"Central Alaska"
ak,10844542,2,"Wednesday, November 13, 2013 11:19:21 UTC",61.3828,-151.7724,1.6,82.60,42,"Southern Alaska"
hv,60591131,1,"Wednesday, November 13, 2013 11:13:51 UTC",19.2230,-155.3372,1.9,39.00,50,"Island of Hawaii, Hawaii"
ak,10844539,3,"Wednesday, November 13, 2013 11:08:55 UTC",51.4108,-178.8208,3.5,11.10,16,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849537,2,"Wednesday, November 13, 2013 11:00:29 UTC",51.4760,-178.6890,2.3,0.00,10,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844536,2,"Wednesday, November 13, 2013 10:51:44 UTC",51.4185,-178.7787,2.3,17.70,10,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11391122,5,"Wednesday, November 13, 2013 10:48:39 UTC",33.1713,-115.6193,1.4,1.00,45,"Southern California"
ak,10849535,2,"Wednesday, November 13, 2013 10:43:23 UTC",61.0284,-151.2768,1.2,73.10,23,"Southern Alaska"
ci,11391114,4,"Wednesday, November 13, 2013 10:34:42 UTC",32.6813,-115.8532,1.1,8.40,17,"Southern California"
ci,11391090,4,"Wednesday, November 13, 2013 09:54:33 UTC",34.0115,-116.8205,1.0,14.20,41,"Southern California"
ci,11391074,3,"Wednesday, November 13, 2013 09:43:13 UTC",33.6217,-116.6758,1.4,15.50,37,"Southern California"
ak,10849533,2,"Wednesday, November 13, 2013 09:42:03 UTC",51.3902,-178.8757,2.1,13.70, 6,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844479,2,"Wednesday, November 13, 2013 09:37:36 UTC",61.4871,-151.3465,1.5,67.70,37,"Southern Alaska"
nn,00429037,1,"Wednesday, November 13, 2013 09:36:45 UTC",38.4347,-119.1427,1.2,0.00, 5,"Nevada"
hv,60591111,1,"Wednesday, November 13, 2013 09:28:06 UTC",19.2230,-155.3317,2.1,41.80,69,"Island of Hawaii, Hawaii"
nc,72106736,1,"Wednesday, November 13, 2013 09:07:02 UTC",38.8233,-122.8068,1.6,3.10,35,"Northern California"
ak,10844436,2,"Wednesday, November 13, 2013 09:03:09 UTC",59.8876,-152.2084,2.1,65.80,42,"Southern Alaska"
ak,10844429,2,"Wednesday, November 13, 2013 08:58:38 UTC",60.4953,-153.1265,2.4,168.60,69,"Southern Alaska"
ci,11391042,4,"Wednesday, November 13, 2013 08:58:09 UTC",33.1682,-115.6195,1.2,0.10,26,"Southern California"
ak,10844426,2,"Wednesday, November 13, 2013 08:57:49 UTC",62.1847,-152.2454,1.6,119.40,26,"Central Alaska"
ci,11391034,4,"Wednesday, November 13, 2013 08:50:08 UTC",35.3090,-118.5762,1.5,4.90,32,"Central California"
ak,10844404,2,"Wednesday, November 13, 2013 08:47:24 UTC",62.9885,-150.3970,2.8,98.50,96,"Central Alaska"
nc,72106721,0,"Wednesday, November 13, 2013 08:46:45 UTC",36.7153,-121.3177,1.4,17.10,17,"Central California"
ci,11391026,7,"Wednesday, November 13, 2013 08:42:24 UTC",34.1830,-117.3458,1.0,9.80,36,"Greater Los Angeles area, California"
ak,10844398,2,"Wednesday, November 13, 2013 08:41:39 UTC",63.4236,-149.6654,1.4,97.80,34,"Central Alaska"
ak,10844394,3,"Wednesday, November 13, 2013 08:37:43 UTC",51.3113,-179.2229,3.7,25.30,18,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844393,2,"Wednesday, November 13, 2013 08:37:13 UTC",60.1892,-153.0786,2.0,136.50,43,"Southern Alaska"
ak,10844391,2,"Wednesday, November 13, 2013 08:34:53 UTC",58.8016,-139.9678,2.0,1.50,18,"off the coast of Southeastern Alaska"
ak,10844377,3,"Wednesday, November 13, 2013 08:25:19 UTC",60.9292,-152.2706,3.0,103.60,96,"Southern Alaska"
ak,10844380,3,"Wednesday, November 13, 2013 08:25:04 UTC",60.1758,-141.1779,1.5,0.00,11,"Southern Alaska"
nc,72106711,1,"Wednesday, November 13, 2013 08:21:10 UTC",36.6035,-121.1543,2.1,6.70,28,"Central California"
ak,10844368,2,"Wednesday, November 13, 2013 08:19:13 UTC",59.7107,-153.0202,2.6,100.00,82,"Southern Alaska"
ak,10844367,2,"Wednesday, November 13, 2013 08:13:57 UTC",51.4079,-178.7510,2.4,19.90,14,"Andreanof Islands, Aleutian Islands, Alaska"
uu,60044492,2,"Wednesday, November 13, 2013 08:11:19 UTC",38.9473,-111.4110,1.3,8.40, 7,"Utah"
nn,00429036,1,"Wednesday, November 13, 2013 08:01:05 UTC",38.2419,-115.8891,1.4,4.10, 7,"Nevada"
ci,11391010,4,"Wednesday, November 13, 2013 07:52:01 UTC",36.0485,-117.4823,1.7,4.30,26,"Central California"
ak,10844359,3,"Wednesday, November 13, 2013 07:50:00 UTC",51.3841,-178.8708,2.5,6.80,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844356,2,"Wednesday, November 13, 2013 07:47:10 UTC",60.9334,-147.0911,1.5,17.30,24,"Southern Alaska"
nn,00429033,1,"Wednesday, November 13, 2013 07:42:26 UTC",37.0634,-116.0855,1.1,5.20,19,"Nevada"
nn,00429275,1,"Wednesday, November 13, 2013 07:42:19 UTC",38.1226,-118.3789,1.1,9.60, 6,"Nevada"
ak,10844317,2,"Wednesday, November 13, 2013 07:41:21 UTC",63.1171,-150.8145,1.4,120.00,21,"Central Alaska"
ak,10849515,2,"Wednesday, November 13, 2013 07:34:17 UTC",64.6866,-171.0746,3.3,11.00,10,"near the south coast of Chukotskiy Avtonomnyy Okrug, Russia"
nc,72106691,0,"Wednesday, November 13, 2013 07:29:52 UTC",37.2013,-121.4842,1.3,4.10,17,"Northern California"
ak,10844313,2,"Wednesday, November 13, 2013 07:29:01 UTC",51.3934,-178.7242,2.4,17.10,13,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72106686,0,"Wednesday, November 13, 2013 07:17:00 UTC",38.8202,-122.7652,1.2,2.30,21,"Northern California"
ak,10849512,2,"Wednesday, November 13, 2013 07:12:42 UTC",51.3703,-178.7074,2.1,14.10, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11391002,4,"Wednesday, November 13, 2013 07:05:07 UTC",36.1565,-118.0653,1.2,3.40,17,"Central California"
ak,10849511,2,"Wednesday, November 13, 2013 07:04:22 UTC",51.4075,-178.6993,2.4,5.30, 7,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72106681,0,"Wednesday, November 13, 2013 07:01:56 UTC",38.8212,-122.7643,1.0,2.30,19,"Northern California"
ak,10844307,2,"Wednesday, November 13, 2013 06:48:37 UTC",51.3841,-178.7665,2.9,13.40,16,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844304,2,"Wednesday, November 13, 2013 06:40:34 UTC",62.3637,-151.2264,1.4,80.10,28,"Central Alaska"
ak,10844281,2,"Wednesday, November 13, 2013 06:27:45 UTC",51.4060,-178.7373,2.1,6.90,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844280,4,"Wednesday, November 13, 2013 06:27:13 UTC",66.4893,-141.8431,3.5,5.20,59,"northern Alaska"
ak,10849506,2,"Wednesday, November 13, 2013 06:20:31 UTC",51.3938,-178.7820,2.2,6.90, 7,"Andreanof Islands, Aleutian Islands, Alaska"
nn,00429031,1,"Wednesday, November 13, 2013 06:17:16 UTC",39.7295,-119.5848,1.2,12.80,22,"Nevada"
ak,10844273,2,"Wednesday, November 13, 2013 06:03:27 UTC",62.9003,-151.2797,1.8,110.70,32,"Central Alaska"
nc,72106661,1,"Wednesday, November 13, 2013 05:57:47 UTC",36.5387,-121.1258,2.0,3.20,23,"Central California"
ak,10844256,3,"Wednesday, November 13, 2013 05:50:55 UTC",51.4373,-178.7736,3.3,5.80,17,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844254,2,"Wednesday, November 13, 2013 05:49:58 UTC",62.5438,-149.0001,1.3,59.60,24,"Central Alaska"
ak,10849502,2,"Wednesday, November 13, 2013 05:43:29 UTC",51.4351,-178.7258,2.0,5.30, 8,"Andreanof Islands, Aleutian Islands, Alaska"
hv,60591071,1,"Wednesday, November 13, 2013 05:37:20 UTC",19.4018,-155.2813,1.7,1.50,36,"Island of Hawaii, Hawaii"
ak,10844244,2,"Wednesday, November 13, 2013 05:30:40 UTC",51.3975,-178.7832,3.7,14.50,20,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72106646,2,"Wednesday, November 13, 2013 05:29:49 UTC",37.3727,-118.7787,1.1,15.30,22,"Central California"
ak,10844243,2,"Wednesday, November 13, 2013 05:23:31 UTC",51.3965,-178.7487,2.2,19.50,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849498,2,"Wednesday, November 13, 2013 05:21:53 UTC",63.4698,-150.1178,1.3,133.30,20,"Central Alaska"
hv,60591061,2,"Wednesday, November 13, 2013 05:14:27 UTC",19.4050,-155.2820,2.0,1.50,32,"Island of Hawaii, Hawaii"
ak,10849497,2,"Wednesday, November 13, 2013 05:09:20 UTC",60.0639,-152.8482,1.3,102.90,13,"Southern Alaska"
nc,72106626,0,"Wednesday, November 13, 2013 05:08:43 UTC",36.2795,-120.3522,2.1,16.20, 4,"Central California"
ak,10849496,2,"Wednesday, November 13, 2013 04:58:37 UTC",51.3877,-178.9852,2.1,12.60, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849495,2,"Wednesday, November 13, 2013 04:55:22 UTC",51.4032,-178.6651,2.0,6.20, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844218,2,"Wednesday, November 13, 2013 04:52:40 UTC",51.4341,-178.7224,2.7,3.60,14,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844219,2,"Wednesday, November 13, 2013 04:51:42 UTC",51.3938,-178.6212,2.2,4.40,10,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844215,2,"Wednesday, November 13, 2013 04:51:06 UTC",63.2299,-149.3452,1.4,84.00,28,"Central Alaska"
ak,10844213,2,"Wednesday, November 13, 2013 04:49:39 UTC",51.4285,-178.6829,2.6,5.30,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844206,2,"Wednesday, November 13, 2013 04:36:07 UTC",51.4452,-178.7237,2.5,5.90,14,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844205,3,"Wednesday, November 13, 2013 04:32:24 UTC",51.4395,-178.8978,3.0,15.10,16,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844199,3,"Wednesday, November 13, 2013 04:29:57 UTC",51.4224,-178.9183,3.7,12.00,17,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849487,2,"Wednesday, November 13, 2013 04:26:46 UTC",51.4126,-178.6961,2.0,10.60, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849486,2,"Wednesday, November 13, 2013 04:16:55 UTC",51.4103,-178.7815,2.1,10.00, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849485,2,"Wednesday, November 13, 2013 04:10:21 UTC",51.4061,-178.7817,2.4,10.40, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844188,2,"Wednesday, November 13, 2013 04:09:14 UTC",51.4296,-178.8357,2.4,26.40,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10849483,2,"Wednesday, November 13, 2013 04:07:47 UTC",51.4254,-178.7689,2.4,8.50,12,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10844176,2,"Wednesday, November 13, 2013 04:05:33 UTC",51.4312,-178.7605,2.4,10.70, 8,"Andreanof Islands, Aleutian Islands, Alaska"
nc,72106596,0,"Wednesday, November 13, 2013 04:02:04 UTC",37.7803,-121.9590,1.4,10.30, 9,"San Francisco Bay area, California"
ci,11390970,4,"Wednesday, November 13, 2013 04:01:33 UTC",35.3072,-118.5755,1.2,7.00,18,"Central California"
ak,10849481,2,"Wednesday, November 13, 2013 04:00:31 UTC",51.4490,-178.9508,3.8,23.60, 9,"Andreanof Islands, Aleutian Islands, Alaska"
hv,60591036,1,"Wednesday, November 13, 2013 03:59:42 UTC",19.1193,-155.6875,1.7,1.60,51,"Island of Hawaii, Hawaii"
ak,10844151,4,"Wednesday, November 13, 2013 03:57:41 UTC",51.3930,-178.7304,6.0,5.00,54,"Andreanof Islands, Aleutian Islands, Alaska"
